year,ori,dest,crash_city,crash_country,lat,lon,airline,death
1947,Los Angeles,New York City,Bryce Canyon,Utah,37.6283161,-112.1676947,United Air Lines,53
1933,Burbank,San Francisco,Hayward,California,37.6688205,-122.0807964,Varney Airlines,3
1931,"Oakland, CA","Seattle, WA",Oakland,California,37.8043637,-122.2711137,PacifiAir Transport,4
1941,"Kansas City, MO",New York,Near Robertson,Missouri,37.9409422,-93.4010371,Trans Continental and Western Air,2
1947,Istanbul,Athens,Near Mt. Hymettus,Greece,37.9463889,23.8166667,AB Aerotransport,44
1931,Kansas City,Wichita,Bazaar,Kansas,38.2719604,-96.5352854,Trans Continental and Western Air,8
1936,New Orleans,Chicago,St. Louis,Missouri,38.6270025,-90.1994042,Chicago Southern Airlines,8
1932,Training,No Record Found,Saint Louis,Illinois,38.6270025,-90.1994042,Century Air Lines,2
1943,New York City,Lisbon,Lisbon,Portugal,38.7222524,-9.1393366,Pan American World Airways,25
1947,Paris,Bordeaux,Near Lisbon,Portugal,38.7222524,-9.1393366,Air France,15
1948,Atlanta,Washington D.C.,Oxon Hill,Maryland,38.8034468,-76.9896975,Eastern Air Lines,5
1945,"Washington, D.C.","New York, Ny",Washington D.C.,No Record Found,38.9071923,-77.0368707,Page Airways,6
1947,"New York, NY","Raleigh, NC",Harrington,Delaware,38.9237244,-75.5777033,International Air Freight,1
1934,"Kansas City, MO","Chicago, IL",Columbia,Missouri,38.9517053,-92.3340724,Braniff Airlines,1
1946,"Flint, MI","Washville, IL",Walshville,Illinois,39.07088,-89.6189784,Kansas City Southern Skyways,2
1930,Wichita,"Kansas City, KS",Kansas City,Kansas,39.114053,-94.6274636,Central Airlines,5
1947,Pittsburgh,Washington D.C.,Leesburg,Virginia,39.1156615,-77.5636015,Pennsylvania Central Airlines,50
1947,Training,No Record Found,Delaware Bay,New Jersey,39.1201705,-75.2479061,Trans Continental and Western Air,4
1943,Hawaii,San Francisco,Ukiah,California,39.1501709,-123.2077831,Pan American World Airways,19
1940,Washington D.C.,Detroit,Near Lovettsville,Virginia,39.2726017,-77.636657,Pennsylvania Central Airlines,25
1946,Topeka,Denver,Goodland,Kansas,39.350833,-101.7101722,Military - U.S. Army Air Corps,13
1946,"Stockton, CA","Ogden, UT",Hobart Mills,California,39.4004621,-120.183811,Military - U.S. Army Air Forces,26
1947,Miami,Raleigh,Carmel,New Jersey,39.4342818,-75.1212927,Nationwide Air Transport,3
1947,Newark,Baltimore,Port Deposit,Maryland,39.6048327,-76.1152289,Eastern Air Lines,53
1945,Pittsburgh,Morgantown,Morgantown,West Virginia,39.629526,-79.9558968,Pennsylvania Central Airlines,20
1947,"Omaha, NE","Denver, CO",Denver,Colorado,39.7392358,-104.990251,Slick Airways,2
1934,Omaha,St. Joseph,Amazonia,Missouri,39.8861052,-94.891913,Rapid Air Transport,5
1935,Los Angeles,Albuquerque,Atlanta,Missouri,39.898646,-92.4810208,Trans Continental and Western Air,5
1936,Newark,Los Angeles,Uniontown,Pennsylvania,39.900076,-79.7164326,Trans Continental and Western Air,13
1945,Hankou,Peking,Near Peking,China,39.904211,116.407395,Military - U.S. Army Air Forces,59
1931,"Port Colombus, OH","Louisville, KY",Springfield,Ohio,39.9242266,-83.8088171,American Airways,4
1931,"Newark, NJ","Camden, NJ",Camden,New Jersey,39.9259463,-75.1196199,"NY, Phil., Washington AW",5
1934,"St. Louis, MO","Chicago, IL",Petersburg,Illinois,40.0117151,-89.8481652,American Airways,4
1946,AtlantiCity,Newark,Lakehurst,New Jersey,40.014561,-74.3112574,AtlantiCentral Airlines,4
1937,Frankfurt,Lakehurst N.J.,Lakehurst,New Jersey,40.014561,-74.3112574,Deutsche Zeppelin Reederei,35
1947,Havana,Lisbon,Pedro Bernardo,Spain,40.2426072,-4.9097818,Aerovias Cuba International,12
1942,Salt Lake,Las Vegas,Fairfield,Utah,40.2621714,-112.0929961,Western Airlines,17
1947,Tihua,Lanzhou,Near Yumen,China,40.291843,97.045679,Military - Chinese Air Force,26
1946,Training flight,No Record Found,Reading,Pennsylvania,40.3356483,-75.9268747,Trans Continental and Western Air,5
1932,Columbus,McKeesport,Steubenville,Ohio,40.3697905,-80.6339638,Trans Continental and Western Air,1
1929,Cleveland,Louisville,Mount Vernon,Ohio,40.3933956,-82.4857181,Continental Air Lines,1
1935,"Newark, NJ","Columbus, OH",Pittsburgh,Pennsylvania,40.4406248,-79.9958864,Trans Continental and Western Air,1
1938,Channel Islands,Southhampton,Channel Islands,Jersey,40.6051035,-73.6279072,Jersey Airways,14
1937,India,London,Brindisi Harbor,Italy,40.6327278,17.9417616,Imperial Airways,2
1946,Cairo,Rome,Off Amalfi,Italy,40.6340026,14.6026805,Military - U.S. Army Air Forces,30
1936,"Newwark, N.J.","Buffalo, NY",Pavillon,New York,40.6382101,-74.0787683,American Airlines,2
1947,Catania,Rome,Ravello,Italy,40.6491886,14.6117112,Trafik-Turist-Transportflyg,20
1943,Wendover Field,Pocatello AAB,Lakeside,Utah,40.653788,-112.7625703,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces,25
1938,Cagliari,Rome,Off Sardinia,Italy,40.7126296,8.5236143,Ala Littoria,20
1947,New York,Buffalo,New York,New York,40.7127837,-74.0059413,American Airlines,3
1945,Philadelphia,New York City,New York City,New York,40.7127837,-74.0059413,Eastern Air Lines,1
1930,"Albany, NY","Jersey City, NJ",Jersey City,New Jersey,40.7281575,-74.0776417,Canadian Colonial Airways,4
1937,Cheyenne,Salt Lake City,Haydens Peak,Wyoming,40.7346687,-110.8437819,United Air Lines,19
1929,Sightseeing,No Record Found,Newark,New Jersey,40.735657,-74.1723667,Colonial Western Airlines,14
1933,Test flight,No Record Found,Newark,New Jersey,40.735657,-74.1723667,Eastern Air Transport,2
1936,Burbank,Las Vegas,Near Salt Lake City,Utah,40.7607793,-111.8910474,Western Air Express,7
1934,Salt Lake City,Cheyenne,Near Salt Lake City,Utah,40.7607793,-111.8910474,Boeing Aircraft Company,8
1942,San Francisco,New York City,Salt Lake City,Utah,40.7607793,-111.8910474,United Air Lines,17
1938,Sightseeing,No Record Found,Montnago,Italy,40.7710051,9.6510118,Macchi,13
1947,New York City,Cleveland,La Guardia Airport,Queens,40.7769271,-73.8739659,United Air Lines,43
1946,New York City,San Francisco,Elko,Nevada,40.8324211,-115.7631232,Trans-Luxury Airlines,21
1940,Oakland,Salt Lake City,Near Centerville,Utah,40.9180005,-111.8721601,United Air Lines,10
1939,Test flight,No Record Found,Near Adler,Washington,40.9653217,-74.0519917,Boeing Aircraft Company,10
1935,Salt Lake City,Cheyenne,Near Cheyenne,Wyoming,41.1399814,-104.8202462,United Air Lines,12
1946,San Francisco,Cheyenne,Cheyenne,Wyoming,41.1399814,-104.8202462,United Air Lines,2
1935,Test flight,No Record Found,Cheyenne,Wyoming,41.1399814,-104.8202462,United Air Lines,4
1931,Kansas City,Chicago,Kewanee,Illinois,41.2455927,-89.9248303,Braniff Airways,2
1937,Newark,Camden,Clifton,Pennsylvania,41.2509919,-75.5393155,Trans Continental and Western Air,13
1947,Rome,Cairo,Off Terracina,Italy,41.2963728,13.2332657,Military - Corrieri Aerei Militari,16
1946,Oakland,Chicago,Laramie,Wyoming,41.3113669,-105.5911007,National Air Transport Services,13
1936,"Miami, FL","Charleston, SC",Near Milford,Pennsylvania,41.322316,-74.8023882,Eastern Air Lines,14
1939,"Toulouse, France","Casablanca, Morocco",Barcelona,Spain,41.3850639,2.1734035,Deutsche Lufthansa,7
1946,Chicago,Cleveland,Cleveland,Ohio,41.49932,-81.6943605,United Air Lines,2
1938,Newark,Cleveland,Cleveland,Ohio,41.49932,-81.6943605,United Air Lines,10
1946,Teterboro,Chicago,Moline,Illinois,41.5067003,-90.5151342,Trans Luxury Airlines,2
1946,New York,Boston,Cheshire,Connecticut,41.5083668,-72.9106202,Eastern Air Lines,17
1933,Cleveland,Chicago,Chesterton,Indiana,41.6105937,-87.0641992,United Air Lines,10
1945,France,Athens,Near Picinisco,Italy,41.648291,13.866845,Military - U.S. Army Air Forces,20
1946,Buffalo,Chicago,Michigan City,Indiana,41.7075394,-86.8950297,American Airlines,2
1930,"Newark, NJ","Hartford, CT",Hartford,Connecticut,41.7637111,-72.6850932,Colonial Air Transport,1
1933,Paris,Morroco,Viladrau,Spain,41.8477765,2.3904096,Aeropostale - La Tecoere Company,6
1931,Chicago,Detroit,Chicago,Illinois,41.8781136,-87.6297982,Braniff Airlines,2
1940,New York City,Chicago,Chicago,Illinois,41.8781136,-87.6297982,United Air Lines,10
1935,Chicago,St. Louis,Maywood,Illinois,41.8791979,-87.8431155,Chicago and Southern Airlines,2
1936,Marseille,Tunis,Off Ajaccio,Corsica,41.919229,8.738635,Air France,6
1934,New York,Chicago,Mongaup Mountain,New York,41.9909235,-74.6840456,American Airways,7
1932,Chicago,Kalamazoo,Marcellus,Michigan,42.0258779,-85.8155576,Transamerican Airlines,1
1932,Rockford,"Chicago, IL",Colvin Park,Ilinois,42.13806,-88.78333,Northwest Airways,1
1948,Athens,Nice,Mt. Argentari,Italy,42.398333,11.142778,Pan African Air Charter,12
1935,Helena,Denver,Near Glendo,Wyoming,42.5027467,-105.0260832,Aero Mayflower Transit Co,3
1941,New York,Buffalo,St. Thomas,Ontario,42.7777214,-81.1826527,American Airlines,20
1944,"Bruning, NB","Pierre, SD",Naper,Nebraska,42.96361,-99.0967626,Military - U.S. Army Air Forces,28
1935,Sightseeing,No Record Found,Flint,Michigan,43.0125274,-83.6874562,Knowles Flying Service of Detroit,3
1947,Marseille,Lyon,Near Gemenos,France,43.295388,5.628112,Air France,2
1938,"Marseille, France","Ajaccio, Corsica",Marseille,France,43.296482,5.36978,Air France,8
1930,"Paris, France","London, England",Near Neufchatel,France,43.356673,6.695973,Imperial Airways,3
1938,Sioux Lookout,Hudson,North Pine,Ontario,43.7291661,-90.5906492,General Airways,1
1947,Training,No Record Found,Newcastle,Delaware,43.850056,-104.1932301,Trans Continental and Western Air,5
1946,Boise,Denver,Mt. Elk,Wyoming,44.3369083,-107.2603464,United Air Lines,21
1941,"Bucharest , Romania","Sofia, Bulgaria",Bucharest,Romania,44.4267674,26.1025384,LARES,15
1947,Constanta,Bucharest,Bucharest,Romania,44.4267674,26.1025384,Transporturile Aeriene Romano-Sovietice,3
1947,Bucurest,Prague,Phouznicie,Romania,44.4271997,26.1255311,TARS,13
1943,Bombing run,No Record Found,Ploesti,Romania,44.936664,26.0128616,Military - U.S. Army Air Forces,10
1929,St. Paul,Minneapolis,St. Paul,Minnesota,44.9537029,-93.0899578,Northwest Orient Airlines,1
1947,Lyons,Nice,Mt. Moucherolles,France,45.004949,5.564012,Air France,23
1936,Turin,Milan,Near Turin,Italy,45.070312,7.6868565,Avio Linee Italiane,7
1945,Athens,Naples,Near Boccadi,Italy,45.4337307,12.336833,Military - U.S. Army Air Forces,24
1944,"Montreal, Canada",European air base,Montreal,Canada,45.5016889,-73.567256,Military - Royal Air Force,16
